StudentNo,100263549,,,,,,,,,,,,
System,{weighted},,,,,,,,,,,,
QueryNo,Rank,URL,,,,,,,,,,,
7,10,,,,,,,,,,,,
8,1,https://portal.uea.ac.uk/estates/help-centre/latest-news/-/asset_publisher/4y6W3ljN9SEH/content/temporary-closure-to-accessible-car-parking-spaces,,,,,,,,,,,
8,2,https://portal.uea.ac.uk/estates/travel-and-transport/by-car/parking-for-staff,,,,,,,,,,,
8,3,https://portal.uea.ac.uk/estates/travel-and-transport/by-car/about-us-parking-for-visitors,,,,,,,,,,,
8,4,https://portal.uea.ac.uk/estates/travel-and-transport/by-car,,,,,,,,,,,
8,5,https://portal.uea.ac.uk/student-support-service/wellbeing/disability/concessions-for-parking-on-campus,,,,,,,,,,,
8,6,https://portal.uea.ac.uk/estates/travel-and-transport/bob-champion-building,,,,,,,,,,,
8,7,https://portal.uea.ac.uk/arm/marketing/digital/seo,,,,,,,,,,,
8,8,https://portal.uea.ac.uk/estates/travel-and-transport/by-bike,,,,,,,,,,,
8,9,https://portal.uea.ac.uk/estates/travel-and-transport/by-bike/locked-cycle-compounds,,,,,,,,,,,
8,10,https://portal.uea.ac.uk/estates/help-centre/maps,,,,,,,,,,,
9,1,https://portal.uea.ac.uk/estates/help-centre/latest-news,,,,,,,,,,,
9,2,https://portal.uea.ac.uk/postgraduate-research/postgraduate-research-personal-and-professional-development-module-catalogue,,,,,,,,,,,
9,3,https://portal.uea.ac.uk/postgraduate-research/personal-and-professional-development-ppd/ppd-online-directory,,,,,,,,,,,
9,4,https://portal.uea.ac.uk/en/postgraduate-research/events/ppd-online-directory,,,,,,,,,,,
9,5,https://portal.uea.ac.uk/en/arm/people,,,,,,,,,,,
9,6,https://portal.uea.ac.uk/learning-and-teaching/students/the-basics/directions,,,,,,,,,,,
9,7,https://portal.uea.ac.uk/estates/improving-your-campus/current-works,,,,,,,,,,,
9,8,https://portal.uea.ac.uk/estates/improving-your-campus/buildings-and-projects,,,,,,,,,,,
9,9,https://portal.uea.ac.uk/estates/improving-your-campus/buildings-and-projects/-/asset_publisher/ysdTAzdNe3av/content/restaurant-building-targeted-completion-summer-2019,,,,,,,,,,,
9,10,https://portal.uea.ac.uk/arm/campus-news/staff/vc-message,,,,,,,,,,,
10,1,https://portal.uea.ac.uk/graduationoffice/registration,,,,,,,,,,,
10,2,https://portal.uea.ac.uk/accommodation/living-in-residences/what-to-do-if...,,,,,,,,,,,
10,3,https://portal.uea.ac.uk/learning-and-teaching/staff/forms,,,,,,,,,,,
10,4,https://portal.uea.ac.uk/web/hub/accommodation/into-students,,,,,,,,,,,
10,5,https://portal.uea.ac.uk/digital-voyager,,,,,,,,,,,
10,6,https://portal.uea.ac.uk/arm/marketing/digital/course-amends,,,,,,,,,,,
10,7,https://portal.uea.ac.uk/learning-and-teaching/students/modules-and-courses,,,,,,,,,,,
10,8,https://portal.uea.ac.uk/accommodation/undergraduate/guarantee,,,,,,,,,,,
10,9,https://portal.uea.ac.uk/en/accommodation/undergraduate/guarantee,,,,,,,,,,,
10,10,https://portal.uea.ac.uk/student-support-service/wellbeing/disability/assessment-adjustments-formerly-exam-arrangements-,,,,,,,,,,,
