StudentNo,100263549,,,,,,,,,,,,,,
System,{stemmed},,,,,,,,,,,,,,
QueryNo,Rank,URL,,,,,,,,,,,,,
1,1,https://portal.uea.ac.uk/en/finance,,,,,,,,,,,,,
1,2,https://portal.uea.ac.uk/en/finance/exchange,,,,,,,,,,,,,
1,3,https://portal.uea.ac.uk/arm/campus-news/statements-and-information,,,,,,,,,,,,,
1,4,https://portal.uea.ac.uk/en/a-to-z-index,,,,,,,,,,,,,
1,5,https://portal.uea.ac.uk/a-to-z-index,,,,,,,,,,,,,
1,6,https://portal.uea.ac.uk/finance/insurance,,,,,,,,,,,,,
1,7,https://portal.uea.ac.uk/en/finance/procurement,,,,,,,,,,,,,
1,8,https://portal.uea.ac.uk/en/finance/vat,,,,,,,,,,,,,
1,9,https://portal.uea.ac.uk/finance/budgeting,,,,,,,,,,,,,
1,10,https://portal.uea.ac.uk/en/finance/insurance,,,,,,,,,,,,,
2,1,http://portal.uea.ac.uk,,,,,,,,,,,,,
2,2,https://portal.uea.ac.uk/accommodation/living-in-residences,,,,,,,,,,,,,
2,3,https://portal.uea.ac.uk/accommodation/guarantee,,,,,,,,,,,,,
2,4,https://portal.uea.ac.uk/arm/campus-news/student/-/asset_publisher/BmCeiEPqxXUM/content/investing-in-spaces-for-students-and-staff,,,,,,,,,,,,,
2,5,https://portal.uea.ac.uk/accommodation/undergraduate/guarantee,,,,,,,,,,,,,
2,6,https://portal.uea.ac.uk/accommodation/living-in-residences/private-housing,,,,,,,,,,,,,
2,7,https://portal.uea.ac.uk/accommodation/visitors-and-staff,,,,,,,,,,,,,
2,8,https://portal.uea.ac.uk/postgraduate-research/postgraduate-research-personal-and-professional-development-module-catalogue,,,,,,,,,,,,,
2,9,https://portal.uea.ac.uk/learning-and-teaching/hubs,,,,,,,,,,,,,
2,10,https://portal.uea.ac.uk/en_US/staff-mobility,,,,,,,,,,,,,
3,1,http://portal.uea.ac.uk,,,,,,,,,,,,,
3,2,https://portal.uea.ac.uk/accommodation/living-in-residences,,,,,,,,,,,,,
3,3,https://portal.uea.ac.uk/accommodation/guarantee,,,,,,,,,,,,,
3,4,https://portal.uea.ac.uk/arm/campus-news/student/-/asset_publisher/BmCeiEPqxXUM/content/investing-in-spaces-for-students-and-staff,,,,,,,,,,,,,
3,5,https://portal.uea.ac.uk/accommodation/undergraduate/guarantee,,,,,,,,,,,,,
