StudentNo,100263549,
System,{basic},
QueryNo,Rank,URL
7,7,
7,8,
7,9,
7,10,
8,1,https://portal.uea.ac.uk/web/hub/estates/travel-and-transport/by-car/parking-for-staff
8,2,https://portal.uea.ac.uk/estates/travel-and-transport/by-car/parking-for-staff
8,3,https://portal.uea.ac.uk/estates/travel-and-transport/by-car/parking-for-students
8,4,https://portal.uea.ac.uk/estates/travel-and-transport/traffic-enforcement
8,5,https://portal.uea.ac.uk/estates/travel-and-transport/by-car/parking-for-contractors
8,6,https://portal.uea.ac.uk/estates/travel-and-transport/by-car/parking-for-visitors
8,7,https://portal.uea.ac.uk/web/hub/estates/travel-and-transport/by-car/parking-for-visitors
8,8,https://portal.uea.ac.uk/estates/travel-and-transport/by-car/about-us-parking-for-visitors
8,9,https://portal.uea.ac.uk/en/estates/travel-and-transport/by-car/about-us-parking-for-visitors
8,10,https://portal.uea.ac.uk/web/hub/estates/travel-and-transport/by-car/parking-invited-guests
9,1,https://portal.uea.ac.uk/estates/improving-your-campus/current-works-across-campus/building-60
9,2,https://portal.uea.ac.uk/estates/improving-your-campus/current-works-across-campus/building-60/-/asset_publisher/NSJ038PwF9Rh/content/building-60-work-to-connect-campus-heating-to-the-building
9,3,https://portal.uea.ac.uk/estates/improving-your-campus/current-works-across-campus/building-60/-/asset_publisher/NSJ038PwF9Rh/content/building-60-changes-to-chancellor-s-drive-bus-stop
9,4,https://portal.uea.ac.uk/estates/improving-your-campus/current-works-across-campus/building-60/-/asset_publisher/NSJ038PwF9Rh/content/building-60-activities-and-dates
9,5,https://portal.uea.ac.uk/estates/improving-your-campus/current-works-across-campus/building-60/-/asset_publisher/NSJ038PwF9Rh/content/building-60-crane-delivery
9,6,https://portal.uea.ac.uk/estates/improving-your-campus/current-works-across-campus/building-60/-/asset_publisher/NSJ038PwF9Rh/content/building-60-crane-removal
9,7,https://portal.uea.ac.uk/estates/improving-your-campus/current-works-across-campus/building-60/-/asset_publisher/NSJ038PwF9Rh/content/building-60-accessibility
9,8,https://portal.uea.ac.uk/estates/help-centre/latest-news/-/asset_publisher/4y6W3ljN9SEH/content/building-60-changes-to-chancellor-s-drive-bus-stop
9,9,https://portal.uea.ac.uk/en/estates/help-centre/latest-news/-/asset_publisher/4y6W3ljN9SEH/content/building-60-changes-to-chancellor-s-drive-bus-stop
9,10,https://portal.uea.ac.uk/estates/help-centre/latest-news
10,1,https://portal.uea.ac.uk/learning-and-teaching/staff/course-modules/proposals
10,2,https://portal.uea.ac.uk/rin/consultancy/cpd
10,3,https://portal.uea.ac.uk/en/rin/consultancy/cpd
10,4,https://portal.uea.ac.uk/learning-and-teaching/staff/course-modules/closure
10,5,https://portal.uea.ac.uk/learning-and-teaching/docs/course-module
10,6,https://portal.uea.ac.uk/itservices/corporate-systems/administrative/reporting/shared-dimensions/course-dim_course-
10,7,https://portal.uea.ac.uk/en/itservices/corporate-systems/administrative/reporting/shared-dimensions/course-dim_course-
10,8,https://portal.uea.ac.uk/learning-and-teaching/staff/course-modules/course-update/
10,9,https://portal.uea.ac.uk/learning-and-teaching/staff/course-modules/course-update
10,10,https://portal.uea.ac.uk/learning-and-teaching/staff/course-modules/review
,,
System,{stemmed},
QueryNo,Rank,
1,1,https://portal.uea.ac.uk/staff-home
1,2,https://portal.uea.ac.uk/finance/payroll
1,3,https://portal.uea.ac.uk/finance/cashiers
1,4,https://portal.uea.ac.uk/finance/payroll/entertainment
1,5,https://portal.uea.ac.uk/finance/payroll/temporary-students
1,6,https://portal.uea.ac.uk/finance/transparency
1,7,https://portal.uea.ac.uk/finance
1,8,https://portal.uea.ac.uk/finance/payroll/sacrifice
1,9,https://portal.uea.ac.uk/finance/abw/
1,10,https://portal.uea.ac.uk/finance/payroll/cycle
2,1,http://portal.uea.ac.uk
2,2,https://portal.uea.ac.uk/arm/alumni-conferences-and-events/conferences
2,3,https://portal.uea.ac.uk/estates/security
2,4,https://portal.uea.ac.uk/estates/grounds
2,5,https://portal.uea.ac.uk/arm/campus-news/campus-community/reward-gateway
2,6,https://portal.uea.ac.uk/student-support-service/wellbeing/disability/dyslexia-dyspraxia-and-ad-h-d
